symbol,date,vol7,fwd3,fwd7,fascia_tf,quart,semestre
AAVE/USDT,2025-08-09 00:00:00+00:00,31371696.19644286,0.04708061214543324,-0.039542515514832344,B ($20-100M),Q4 alto,giu-nov 2025
ACH/USDT,2026-01-15 00:00:00+00:00,5387857.827941428,0.05799648506151156,0.06678383128295251,C (<$20M),Q2,dic 2025-giu 2026
ACH/USDT,2026-05-02 00:00:00+00:00,3005270.3983957144,-0.034146341463414775,0.04756097560975614,C (<$20M),Q2,dic 2025-giu 2026
ADA/USDT,2025-10-02 00:00:00+00:00,74359773.80239572,-0.03847920974040897,-0.0636342752124971,B ($20-100M),Q4 alto,giu-nov 2025
ADA/USDT,2026-05-10 00:00:00+00:00,32885255.462037142,-0.062322946175637384,-0.10729461756373937,B ($20-100M),Q4 alto,dic 2025-giu 2026
AI/USDT,2025-09-09 00:00:00+00:00,11451907.59240714,-0.060377358490566024,-0.13899371069182398,C (<$20M),Q3,giu-nov 2025
AI/USDT,2026-05-05 00:00:00+00:00,5264534.724444286,0.026200873362445476,0.048034934497816595,C (<$20M),Q2,dic 2025-giu 2026
AIXBT/USDT,2026-04-16 00:00:00+00:00,2848972.9914800003,-0.20062695924764895,-0.12539184952978044,C (<$20M),Q1 basso,dic 2025-giu 2026
ALGO/USDT,2026-04-04 00:00:00+00:00,10561873.085971428,-0.028215767634854783,-0.10124481327800827,C (<$20M),Q3,dic 2025-giu 2026
ALICE/USDT,2025-10-14 00:00:00+00:00,32556198.575385716,-0.2885703508110148,-0.39192757450018856,B ($20-100M),Q4 alto,giu-nov 2025
ALICE/USDT,2026-04-19 00:00:00+00:00,7353099.381889858,-0.0006640106241700972,0.043824701195219085,C (<$20M),Q3,dic 2025-giu 2026
AMP/USDT,2026-01-15 00:00:00+00:00,1391182.9079934289,-0.00588235294117645,-0.0787330316742082,C (<$20M),Q1 basso,dic 2025-giu 2026
APE/USDT,2026-04-24 00:00:00+00:00,15856031.200859573,-0.20552486187845298,-0.008839779005524795,C (<$20M),Q3,dic 2025-giu 2026
API3/USDT,2026-04-20 00:00:00+00:00,6121766.8744808575,-0.04196456325769349,0.022381100404103238,C (<$20M),Q2,dic 2025-giu 2026
APT/USDT,2025-10-03 00:00:00+00:00,48770882.84001714,-0.0169365345244743,-0.318071840684906,B ($20-100M),Q4 alto,giu-nov 2025
APT/USDT,2026-05-06 00:00:00+00:00,12864617.265457142,0.07917888563049869,0.022482893450635588,C (<$20M),Q3,dic 2025-giu 2026
AR/USDT,2025-09-12 00:00:00+00:00,4373059.7594428575,-0.06648936170212771,-0.10372340425531912,C (<$20M),Q2,giu-nov 2025
AR/USDT,2026-04-23 00:00:00+00:00,5202271.652957144,0.005102040816326481,-0.020408163265306145,C (<$20M),Q2,dic 2025-giu 2026
ARB/USDT,2026-04-17 00:00:00+00:00,11326750.488772856,-0.03274942878903275,-0.01980198019801971,C (<$20M),Q3,dic 2025-giu 2026
ASTER/USDT,2026-03-15 00:00:00+00:00,12228548.568531428,-0.037552155771905404,-0.07371349095966606,C (<$20M),Q3,dic 2025-giu 2026
ASTER/USDT,2026-05-10 00:00:00+00:00,16683254.732048571,-0.05211267605633796,-0.08591549295774636,C (<$20M),Q3,dic 2025-giu 2026
ASTER/USDT,2026-05-24 00:00:00+00:00,17955363.843298573,-0.03546099290780125,0.029787234042553123,C (<$20M),Q3,dic 2025-giu 2026
AVAX/USDT,2026-05-09 00:00:00+00:00,21604135.624371428,-0.014042126379137487,-0.06820461384152476,B ($20-100M),Q3,dic 2025-giu 2026
AXL/USDT,2025-08-13 00:00:00+00:00,2545073.332807857,-0.08586810228802144,-0.15450874831763128,C (<$20M),Q1 basso,giu-nov 2025
AXL/USDT,2026-04-24 00:00:00+00:00,3728817.4993839986,-0.08943089430894302,0.11219512195121961,C (<$20M),Q2,dic 2025-giu 2026
AXS/USDT,2025-08-13 00:00:00+00:00,2573565.310237143,-0.08355387523629487,-0.11833648393194718,C (<$20M),Q1 basso,giu-nov 2025
AXS/USDT,2025-09-10 00:00:00+00:00,3441354.4862714284,0.053003533568904526,-0.009815469179426883,C (<$20M),Q2,giu-nov 2025
AXS/USDT,2026-01-17 00:00:00+00:00,24418712.53803,0.06316321374431522,0.33097524002021217,B ($20-100M),Q4 alto,dic 2025-giu 2026
AXS/USDT,2026-04-27 00:00:00+00:00,17211119.46289714,-0.04728789986091786,-0.08414464534075106,C (<$20M),Q3,dic 2025-giu 2026
BABY/USDT,2025-07-30 00:00:00+00:00,9283262.039882857,-0.034442400936298245,0.0020063534525998072,C (<$20M),Q3,giu-nov 2025
BABY/USDT,2025-09-21 00:00:00+00:00,6667389.088934286,-0.0989081567116249,-0.2329800899165061,C (<$20M),Q2,giu-nov 2025
BABY/USDT,2026-04-16 00:00:00+00:00,1392040.3362985712,-0.052005012531328276,0.0006265664160403084,C (<$20M),Q1 basso,dic 2025-giu 2026
BANANAS31/USDT,2025-12-02 00:00:00+00:00,20648917.006399434,-0.06603538499875405,-0.16346872663842504,B ($20-100M),Q3,dic 2025-giu 2026
BANANAS31/USDT,2025-12-31 00:00:00+00:00,2887500.83245129,0.04154764996104898,0.08179693586081549,C (<$20M),Q2,dic 2025-giu 2026
BANANAS31/USDT,2026-02-09 00:00:00+00:00,5616760.376696861,-0.018817204301075252,0.07728494623655902,C (<$20M),Q2,dic 2025-giu 2026
BB/USDT,2026-05-03 00:00:00+00:00,3570591.692908571,-0.041297935103244754,-0.008849557522123908,C (<$20M),Q2,dic 2025-giu 2026
BCH/USDT,2025-12-02 00:00:00+00:00,53775412.281014286,0.02622409682743454,0.07280396112231813,B ($20-100M),Q4 alto,dic 2025-giu 2026
BFUSD/USDT,2025-10-11 00:00:00+00:00,11409182.658342857,-0.0003000300030002734,-0.00020002000200014525,C (<$20M),Q3,giu-nov 2025
BFUSD/USDT,2025-12-30 00:00:00+00:00,13538090.615128571,-0.00010003000900271619,0.0,C (<$20M),Q3,dic 2025-giu 2026
BFUSD/USDT,2026-02-06 00:00:00+00:00,17947029.330185715,0.0,-0.0003000300030002734,C (<$20M),Q3,dic 2025-giu 2026
BFUSD/USDT,2026-04-07 00:00:00+00:00,1814606.054685712,-0.00010005002501256577,-0.00010005002501256577,C (<$20M),Q1 basso,dic 2025-giu 2026
BIO/USDT,2026-04-18 00:00:00+00:00,26135666.417189993,-0.11953352769679293,-0.12536443148688048,B ($20-100M),Q4 alto,dic 2025-giu 2026
BNB/USDT,2026-01-14 00:00:00+00:00,136212338.85936,-0.0014233449661033015,-0.06864740055036012,A (>$100M),Q4 alto,dic 2025-giu 2026
BNB/USDT,2026-05-10 00:00:00+00:00,97497621.15558001,0.012252279406224087,-0.021204129304498442,B ($20-100M),Q4 alto,dic 2025-giu 2026
BONK/USDT,2025-09-18 00:00:00+00:00,50250565.660444655,-0.1159936658749009,-0.2545526524148851,B ($20-100M),Q4 alto,giu-nov 2025
BONK/USDT,2026-01-14 00:00:00+00:00,21818202.483276993,-0.05802357207615583,-0.16772438803263823,B ($20-100M),Q3,dic 2025-giu 2026
BONK/USDT,2026-05-05 00:00:00+00:00,4801677.352824321,0.10615384615384627,0.08923076923076922,C (<$20M),Q2,dic 2025-giu 2026
BROCCOLI714/USDT,2025-09-21 00:00:00+00:00,14756753.85207286,-0.1775020231993526,-0.24143512274076073,C (<$20M),Q3,giu-nov 2025
BROCCOLI714/USDT,2025-10-05 00:00:00+00:00,4553526.398512857,0.4580152671755724,-0.07919847328244278,C (<$20M),Q2,giu-nov 2025
BROCCOLI714/USDT,2026-01-04 00:00:00+00:00,40650628.07134999,-0.0166204986149584,-0.027700831024930705,B ($20-100M),Q4 alto,dic 2025-giu 2026
BROCCOLI714/USDT,2026-04-16 00:00:00+00:00,5906522.484231428,-0.20625000000000004,-0.17954545454545456,C (<$20M),Q2,dic 2025-giu 2026
BTC/USDT,2025-09-16 00:00:00+00:00,1405016039.0056455,-0.009903162079703431,-0.041015520645102055,A (>$100M),Q4 alto,giu-nov 2025
BTC/USDT,2025-10-02 00:00:00+00:00,1591317208.695488,0.02449992470713558,0.009400614870983537,A (>$100M),Q4 alto,giu-nov 2025
BTC/USDT,2026-01-17 00:00:00+00:00,1413386697.365781,-0.07062813978719629,-0.062244548663620836,A (>$100M),Q4 alto,dic 2025-giu 2026
BTC/USDT,2026-04-15 00:00:00+00:00,1284618625.4170954,0.011786794785027865,0.04502393330088661,A (>$100M),Q4 alto,dic 2025-giu 2026
CFX/USDT,2026-03-20 00:00:00+00:00,5337913.649534285,-0.06339657565941692,-0.1129106894956039,C (<$20M),Q2,dic 2025-giu 2026
CFX/USDT,2026-04-17 00:00:00+00:00,3257634.8653771426,-0.0867078825347759,-0.048377125193199255,C (<$20M),Q2,dic 2025-giu 2026
CHZ/USDT,2025-09-09 00:00:00+00:00,2025013.4710014288,0.029585798816567976,-0.011360946745562206,C (<$20M),Q1 basso,giu-nov 2025
CHZ/USDT,2025-10-01 00:00:00+00:00,3769384.835862857,-0.005390835579514808,-0.04514824797843664,C (<$20M),Q2,giu-nov 2025
CHZ/USDT,2025-12-21 00:00:00+00:00,7265912.6316557145,-0.03424468378900847,0.0019331676332505765,C (<$20M),Q3,dic 2025-giu 2026
CHZ/USDT,2026-04-11 00:00:00+00:00,2496625.497245714,-0.074262461851475,0.028738555442522795,C (<$20M),Q1 basso,dic 2025-giu 2026
CHZ/USDT,2026-04-16 00:00:00+00:00,5053111.142625714,-0.056643356643356735,0.17249417249417243,C (<$20M),Q2,dic 2025-giu 2026
D/USDT,2025-09-14 00:00:00+00:00,3408977.547645714,-0.013547138512579382,-0.02598838816698934,C (<$20M),Q2,giu-nov 2025
D/USDT,2026-04-04 00:00:00+00:00,14847814.431232858,-0.4175405147759771,-0.5786463298379408,C (<$20M),Q3,dic 2025-giu 2026
DASH/USDT,2025-10-01 00:00:00+00:00,6050635.585884286,0.09638168427793792,0.06083893691962872,C (<$20M),Q2,giu-nov 2025
DASH/USDT,2026-01-15 00:00:00+00:00,86496758.71613571,-0.023014105419450592,-0.22333580796832453,B ($20-100M),Q4 alto,dic 2025-giu 2026
DASH/USDT,2026-04-13 00:00:00+00:00,26185147.377325714,-0.10705654905751572,-0.1727887868535526,B ($20-100M),Q4 alto,dic 2025-giu 2026
DASH/USDT,2026-05-01 00:00:00+00:00,5361967.721938572,0.2616896918172158,0.33528161530286926,C (<$20M),Q2,dic 2025-giu 2026
DEXE/USDT,2025-09-20 00:00:00+00:00,6910554.361054285,-0.023029581099860974,-0.07762557077625576,C (<$20M),Q2,giu-nov 2025
DEXE/USDT,2026-03-02 00:00:00+00:00,1842338.9634971428,-0.039221064179923104,0.27125617114646183,C (<$20M),Q1 basso,dic 2025-giu 2026
DOGE/USDT,2026-04-29 00:00:00+00:00,111294036.7328,0.042563412759415664,0.08041890853189848,A (>$100M),Q4 alto,dic 2025-giu 2026
DOGS/USDT,2025-08-10 00:00:00+00:00,1892673.8677671428,-0.006622516556291536,-0.09139072847682128,C (<$20M),Q1 basso,giu-nov 2025
DOGS/USDT,2026-04-17 00:00:00+00:00,1442761.4227806714,0.018292682926829285,0.0,C (<$20M),Q1 basso,dic 2025-giu 2026
DOT/USDT,2025-08-09 00:00:00+00:00,22228524.490754284,0.004591590140164303,-0.04156597390043493,B ($20-100M),Q3,giu-nov 2025
DOT/USDT,2025-09-09 00:00:00+00:00,23766980.135615714,0.04323671497584547,0.02729468599033824,B ($20-100M),Q4 alto,giu-nov 2025
DYDX/USDT,2025-09-10 00:00:00+00:00,4102188.012518286,0.04844778927563498,0.04092191909689569,C (<$20M),Q2,giu-nov 2025
DYDX/USDT,2026-04-17 00:00:00+00:00,4065008.7448729994,-0.033295063145809434,0.17106773823191723,C (<$20M),Q2,dic 2025-giu 2026
DYM/USDT,2026-05-24 00:00:00+00:00,4098720.391958572,-0.14885496183206104,-0.22519083969465659,C (<$20M),Q2,dic 2025-giu 2026
EDU/USDT,2025-08-25 00:00:00+00:00,2965582.418785714,0.010460251046025215,-0.09623430962343105,C (<$20M),Q2,giu-nov 2025
EDU/USDT,2025-09-19 00:00:00+00:00,2552274.361871429,0.04205274411974336,-0.07483962936564514,C (<$20M),Q1 basso,giu-nov 2025
EDU/USDT,2025-10-03 00:00:00+00:00,3888349.6194714285,-0.006934812760055475,-0.35644937586685166,C (<$20M),Q2,giu-nov 2025
EDU/USDT,2025-10-15 00:00:00+00:00,6492187.739600001,0.045810729355033164,0.10307414104882473,C (<$20M),Q2,giu-nov 2025
EDU/USDT,2026-01-05 00:00:00+00:00,933236.5558142861,-0.07664009809932548,0.026977314530962637,C (<$20M),Q1 basso,dic 2025-giu 2026
EDU/USDT,2026-02-03 00:00:00+00:00,1654887.2345142863,-0.13161057692307698,-0.16826923076923073,C (<$20M),Q1 basso,dic 2025-giu 2026
EIGEN/USDT,2025-08-12 00:00:00+00:00,13758804.727768572,-0.03711634546752318,-0.10349750178443973,C (<$20M),Q3,giu-nov 2025
EIGEN/USDT,2025-09-09 00:00:00+00:00,18176515.947875716,0.09649749821300935,0.0950679056468906,C (<$20M),Q3,giu-nov 2025
EIGEN/USDT,2026-05-09 00:00:00+00:00,6117831.269536143,0.0037664783427495685,-0.10969868173258013,C (<$20M),Q2,dic 2025-giu 2026
ENA/USDT,2026-05-07 00:00:00+00:00,20098800.076370716,0.10535117056856191,0.010033444816053505,B ($20-100M),Q3,dic 2025-giu 2026
ENJ/USDT,2025-08-13 00:00:00+00:00,2383827.443842857,-0.10913705583756339,-0.11040609137055835,C (<$20M),Q1 basso,giu-nov 2025
ENJ/USDT,2026-04-09 00:00:00+00:00,10096176.62044257,0.28972278566599075,1.5564570655848549,C (<$20M),Q3,dic 2025-giu 2026
ENSO/USDT,2026-01-25 00:00:00+00:00,24172892.34440427,-0.014598540145985384,-0.11678832116788329,B ($20-100M),Q4 alto,dic 2025-giu 2026
ETH/USDT,2026-01-15 00:00:00+00:00,992836421.4054421,-0.010443879964684766,-0.11028447971940736,A (>$100M),Q4 alto,dic 2025-giu 2026
ETH/USDT,2026-04-14 00:00:00+00:00,755738003.0200937,0.04157696216048645,0.002023733659427096,A (>$100M),Q4 alto,dic 2025-giu 2026
EUR/USDT,2025-12-07 00:00:00+00:00,20952247.804432858,0.005156854318865589,0.00807907176622269,B ($20-100M),Q3,dic 2025-giu 2026
EUR/USDT,2026-01-23 00:00:00+00:00,15241057.719381427,0.004224043254203114,0.0023654642223538414,C (<$20M),Q3,dic 2025-giu 2026
EUR/USDT,2026-04-14 00:00:00+00:00,23893521.477291428,-0.002798507462686617,-0.004324966078697479,B ($20-100M),Q4 alto,dic 2025-giu 2026
FET/USDT,2026-01-13 00:00:00+00:00,16737271.214407146,-0.04870572207084478,-0.2098092643051771,C (<$20M),Q3,dic 2025-giu 2026
FET/USDT,2026-03-19 00:00:00+00:00,24392444.358957145,-0.03200000000000003,0.1392941176470588,B ($20-100M),Q4 alto,dic 2025-giu 2026
FET/USDT,2026-05-08 00:00:00+00:00,12472959.568160003,0.005130397605814574,-0.12997007268063276,C (<$20M),Q3,dic 2025-giu 2026
FET/USDT,2026-05-27 00:00:00+00:00,23573428.845401432,0.14897119341563791,0.04567901234567895,B ($20-100M),Q4 alto,dic 2025-giu 2026
FIL/USDT,2025-08-10 00:00:00+00:00,13144221.744875714,0.04233409610983996,-0.024027459954233277,C (<$20M),Q3,giu-nov 2025
FIL/USDT,2025-09-16 00:00:00+00:00,17027860.65107,-0.04264475743348983,-0.12441314553990612,C (<$20M),Q3,giu-nov 2025
FIL/USDT,2025-11-09 00:00:00+00:00,179713767.8073371,-0.21028037383177567,-0.29547088425593104,A (>$100M),Q4 alto,giu-nov 2025
FIL/USDT,2026-05-06 00:00:00+00:00,16180511.952917144,0.07623318385650224,-0.0609865470852019,C (<$20M),Q3,dic 2025-giu 2026
GALA/USDT,2025-08-08 00:00:00+00:00,8853880.50808,-0.01707891637220249,-0.024734982332155542,C (<$20M),Q3,giu-nov 2025
GALA/USDT,2025-09-11 00:00:00+00:00,9867128.832891429,-0.006833712984054552,0.04328018223234631,C (<$20M),Q3,giu-nov 2025
GALA/USDT,2026-05-08 00:00:00+00:00,10206378.211541427,-0.0576923076923076,-0.15865384615384603,C (<$20M),Q3,dic 2025-giu 2026
GIGGLE/USDT,2026-04-16 00:00:00+00:00,32688182.91869,-0.18205260443527593,-0.06291903042805569,B ($20-100M),Q4 alto,dic 2025-giu 2026
GLMR/USDT,2025-08-13 00:00:00+00:00,1221280.5007600002,-0.030864197530864224,-0.062962962962963,C (<$20M),Q1 basso,giu-nov 2025
GLMR/USDT,2026-04-22 00:00:00+00:00,3408130.2885785713,0.34507042253521103,0.18309859154929553,C (<$20M),Q2,dic 2025-giu 2026
HBAR/USDT,2025-09-13 00:00:00+00:00,30542328.46322143,-0.04081879356892448,-0.025023169601482875,B ($20-100M),Q4 alto,giu-nov 2025
HBAR/USDT,2026-05-12 00:00:00+00:00,10619509.668818567,-0.010548748002131125,-0.056366542354821525,C (<$20M),Q3,dic 2025-giu 2026
HBAR/USDT,2026-05-31 00:00:00+00:00,31811224.688924283,-0.11739130434782608,-0.15165631469979302,B ($20-100M),Q4 alto,dic 2025-giu 2026
HEMI/USDT,2026-05-11 00:00:00+00:00,1503984.764157714,-0.04927211646136631,-0.1220604703247481,C (<$20M),Q1 basso,dic 2025-giu 2026
HIGH/USDT,2025-08-24 00:00:00+00:00,1202469.1455394286,-0.053264604810996374,-0.11340206185567003,C (<$20M),Q1 basso,giu-nov 2025
HIGH/USDT,2026-04-18 00:00:00+00:00,18275642.33711,-0.06687898089171984,-0.33439490445859876,C (<$20M),Q3,dic 2025-giu 2026
HIVE/USDT,2026-05-08 00:00:00+00:00,3774580.213585715,-0.005917159763313529,-0.09467455621301768,C (<$20M),Q2,dic 2025-giu 2026
HMSTR/USDT,2026-05-04 00:00:00+00:00,563112.6419246857,0.23241061130334462,0.06055363321799301,C (<$20M),Q1 basso,dic 2025-giu 2026
HMSTR/USDT,2026-05-29 00:00:00+00:00,2379235.588297014,0.02967898243488798,-0.029073288915808626,C (<$20M),Q1 basso,dic 2025-giu 2026
HUMA/USDT,2025-09-28 00:00:00+00:00,12946888.02191143,-0.018156028368794153,0.008510638297872353,C (<$20M),Q3,giu-nov 2025
HUMA/USDT,2025-12-08 00:00:00+00:00,1874639.4591342858,-0.08142403947832211,0.06379978850898826,C (<$20M),Q1 basso,dic 2025-giu 2026
HUMA/USDT,2026-04-18 00:00:00+00:00,2291305.909271429,0.056847545219638196,0.3281653746770026,C (<$20M),Q1 basso,dic 2025-giu 2026
HYPER/USDT,2026-04-23 00:00:00+00:00,662493.6402971428,0.30905306971904256,0.2882414151925077,C (<$20M),Q1 basso,dic 2025-giu 2026
ICP/USDT,2025-11-06 00:00:00+00:00,120810623.73504142,0.12570747691391104,-0.1270479594876378,A (>$100M),Q4 alto,giu-nov 2025
ICP/USDT,2026-01-18 00:00:00+00:00,46972106.775278576,-0.06853182751540043,-0.16991786447638602,B ($20-100M),Q4 alto,dic 2025-giu 2026
ICP/USDT,2026-05-06 00:00:00+00:00,10212711.592678571,0.10406249999999995,-0.05125000000000002,C (<$20M),Q3,dic 2025-giu 2026
INJ/USDT,2025-09-11 00:00:00+00:00,11084265.297771428,-0.009148486980999349,0.03589021815622795,C (<$20M),Q3,giu-nov 2025
INJ/USDT,2026-04-24 00:00:00+00:00,2803168.2638428574,0.04489795918367334,0.06326530612244885,C (<$20M),Q1 basso,dic 2025-giu 2026
IO/USDT,2026-04-23 00:00:00+00:00,1718105.3113327143,0.01069078947368407,-0.046052631578947345,C (<$20M),Q1 basso,dic 2025-giu 2026
JTO/USDT,2025-08-30 00:00:00+00:00,6956979.792771429,-0.01446280991735538,-0.07231404958677679,C (<$20M),Q2,giu-nov 2025
JTO/USDT,2025-09-02 00:00:00+00:00,6345650.941157143,-0.03563941299790352,-0.002620545073375169,C (<$20M),Q2,giu-nov 2025
JTO/USDT,2025-09-12 00:00:00+00:00,6145867.9838000005,-0.09890109890109877,-0.07092907092907075,C (<$20M),Q2,giu-nov 2025
JTO/USDT,2026-04-16 00:00:00+00:00,1670827.639867143,-0.0958984951313071,0.023310711124225447,C (<$20M),Q1 basso,dic 2025-giu 2026
JUP/USDT,2025-08-28 00:00:00+00:00,11289001.856914286,-0.07269973494888293,-0.09541840212040897,C (<$20M),Q3,giu-nov 2025
JUP/USDT,2025-09-09 00:00:00+00:00,6745487.861181429,0.05853381322220108,-0.020458420155332502,C (<$20M),Q2,giu-nov 2025
JUP/USDT,2026-04-17 00:00:00+00:00,2191631.6810185714,-0.08599242833964305,-0.06165494862087628,C (<$20M),Q1 basso,dic 2025-giu 2026
KAVA/USDT,2026-04-25 00:00:00+00:00,1063544.7195161427,-0.04051000645577785,-0.010329244673983218,C (<$20M),Q1 basso,dic 2025-giu 2026
KITE/USDT,2026-05-13 00:00:00+00:00,10654091.207619999,0.042377009254749076,0.13395031660983925,C (<$20M),Q3,dic 2025-giu 2026
KNC/USDT,2026-05-03 00:00:00+00:00,2591854.3202257133,-0.10119047619047628,-0.04880952380952386,C (<$20M),Q1 basso,dic 2025-giu 2026
KSM/USDT,2025-08-12 00:00:00+00:00,1990106.8353471428,-0.06544996853366902,-0.12208936438011331,C (<$20M),Q1 basso,giu-nov 2025
KSM/USDT,2025-08-22 00:00:00+00:00,1569636.6532471427,-0.09339975093399744,-0.07222914072229136,C (<$20M),Q1 basso,giu-nov 2025
KSM/USDT,2026-04-27 00:00:00+00:00,768546.6953285715,-0.004201680672268782,0.0126050420168069,C (<$20M),Q1 basso,dic 2025-giu 2026
LDO/USDT,2025-10-06 00:00:00+00:00,23050904.252131857,-0.07292747147530532,-0.18479214872735983,B ($20-100M),Q4 alto,giu-nov 2025
LDO/USDT,2026-04-16 00:00:00+00:00,5677796.895944429,-0.17902930402930417,-0.11126373626373631,C (<$20M),Q2,dic 2025-giu 2026
LINEA/USDT,2026-05-01 00:00:00+00:00,4043932.648330857,-0.020470262793914284,0.1961272475795297,C (<$20M),Q2,dic 2025-giu 2026
LINK/USDT,2026-04-26 00:00:00+00:00,17171000.771557145,-0.03902953586497904,-0.03691983122362863,C (<$20M),Q3,dic 2025-giu 2026
LINK/USDT,2026-05-05 00:00:00+00:00,22500872.17027143,0.05942622950819665,0.05327868852459017,B ($20-100M),Q4 alto,dic 2025-giu 2026
LPT/USDT,2025-08-30 00:00:00+00:00,24846060.22697143,-0.0536193029490617,-0.019895583462678168,B ($20-100M),Q4 alto,giu-nov 2025
LPT/USDT,2026-05-10 00:00:00+00:00,1449723.0780557136,-0.08082077051926306,-0.14321608040201006,C (<$20M),Q1 basso,dic 2025-giu 2026
LTC/USDT,2025-10-04 00:00:00+00:00,59287360.197751425,-0.02987303958177756,-0.22545846817691473,B ($20-100M),Q4 alto,giu-nov 2025
LTC/USDT,2026-05-08 00:00:00+00:00,17065307.09935,0.003429355281207247,-0.014060356652949246,C (<$20M),Q3,dic 2025-giu 2026
LUMIA/USDT,2026-04-10 00:00:00+00:00,447536.2000361421,0.0946969696969695,0.3737373737373735,C (<$20M),Q1 basso,dic 2025-giu 2026
LUNA/USDT,2025-12-09 00:00:00+00:00,30254612.83145257,0.15462610899873264,-0.17046894803548795,B ($20-100M),Q4 alto,dic 2025-giu 2026
LUNA/USDT,2026-04-29 00:00:00+00:00,3815075.623182857,0.1708463949843262,0.11442006269592486,C (<$20M),Q2,dic 2025-giu 2026
LUNC/USDT,2025-08-23 00:00:00+00:00,2757082.1629440733,-0.04738194667523299,-0.05300353356890464,C (<$20M),Q1 basso,giu-nov 2025
LUNC/USDT,2025-09-17 00:00:00+00:00,2514185.30614763,-0.02144026186579362,-0.09214402618657924,C (<$20M),Q1 basso,giu-nov 2025
LUNC/USDT,2025-12-09 00:00:00+00:00,80751799.66204159,-0.24747310074991857,-0.32751874796217806,B ($20-100M),Q4 alto,dic 2025-giu 2026
LUNC/USDT,2025-12-31 00:00:00+00:00,6454898.367955168,0.05124555160142341,0.030130486358244335,C (<$20M),Q2,dic 2025-giu 2026
